P2SITE1 P2SITE2 P2SITE3 P2ALL P1SITE1 P1SITE2 P1SITE3 P1ALL
0.696 12.254 7.947 10.277 0.694 24.463 16.305 8.165
0.694 12.253 7.973 10.422 0.691 24.462 16.171 8.165
0.699 12.252 7.987 10.428 0.691 24.465 16.250 8.167
0.696 12.252 8.000 10.334 0.695 24.463 16.249 8.169
0.694 12.253 7.989 10.291 0.691 24.641 15.509 8.166
0.696 12.251 7.408 10.295 0.692 24.464 16.928 8.169
0.695 12.255 7.996 10.275 0.691 24.651 16.336 8.167
0.700 12.451 7.937 10.426 0.692 24.885 21.718 8.165
0.694 12.320 7.967 10.470 0.691 25.227 16.248 8.478
0.695 12.254 7.977 10.503 0.691 24.845 16.281 8.359
